day	hour	value	showName	description
6	21	35.06	Stonehenge	REAL CLASSIC ROCK THAT YOU DON'T HEAR ANYWHERE ELSE ON THE RADIO. LIVE EVERY FRIDAY ON WREK 91.1 FM ATLANTA, GA, OR STREAMING LIVE AND ARCHIVED THROUGHOUT THE WEEK AT WWW.WREK.ORG	
6	22	35.06	Stonehenge	REAL CLASSIC ROCK THAT YOU DON'T HEAR ANYWHERE ELSE ON THE RADIO. LIVE EVERY FRIDAY ON WREK 91.1 FM ATLANTA, GA, OR STREAMING LIVE AND ARCHIVED THROUGHOUT THE WEEK AT WWW.WREK.ORG	
6	23	35.06	Stonehenge	REAL CLASSIC ROCK THAT YOU DON'T HEAR ANYWHERE ELSE ON THE RADIO. LIVE EVERY FRIDAY ON WREK 91.1 FM ATLANTA, GA, OR STREAMING LIVE AND ARCHIVED THROUGHOUT THE WEEK AT WWW.WREK.ORG	
7	24	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	1	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	2	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	3	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	4	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	5	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	6	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	7	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	8	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	9	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	10	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	11	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	12	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	13	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	14	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	15	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	16	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	17	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	18	23.08	The Desoto Hour	A nationally acclaimed Big Band Jazz Show with your host, Fred Runde III. This show even got WREK on the national news. The Kings of Swing, the Barons of BeBop. This might be the best show on radio anywhere.	
7	19	23.08	The Desoto Hour	A nationally acclaimed Big Band Jazz Show with your host, Fred Runde III. This show even got WREK on the national news. The Kings of Swing, the Barons of BeBop. This might be the best show on radio anywhere.	
7	20	20.67	Coffee & Sushi	Atlanta's best source for chillout and lounge music. Now airing every Saturday night from eight to nine!	
7	21	19.22	EDM Soundsystem	EDM Sound System is a live radio program series, airing on WREK, Atlanta (91.1 FM) for three hours every saturday from 9pm to midnight.	
7	22	19.22	EDM Soundsystem	EDM Sound System is a live radio program series, airing on WREK, Atlanta (91.1 FM) for three hours every saturday from 9pm to midnight.	
7	23	19.22	EDM Soundsystem	EDM Sound System is a live radio program series, airing on WREK, Atlanta (91.1 FM) for three hours every saturday from 9pm to midnight.	
